7	6	0	1	6
5	10	0	3	2
28	14	3	8	5
12	49	1	2	9
2	21	0	0	2
34	2	4	7	5
32	49	6	5	5
15	49	0	0	15
18	15	0	2	16
16	24	1	0	15
31	19	7	5	1
30	50	3	4	21
18	49	4	8	1
14	49	2	3	9
40	29	4	2	25
32	49	4	8	1
39	49	4	7	5
6	49	3	2	1
1	21	0	0	1
10	1	0	2	8
8	16	2	1	5
6	52	3	0	3
40	15	1	3	33
17	49	6	4	7
20	47	3	5	12
12	44	2	1	9
30	51	5	4	13
13	49	5	1	7
9	52	1	1	7
13	15	0	0	13
3	13	0	1	2
17	6	0	0	17
31	17	5	4	13
7	49	3	1	3
21	50	5	6	5
34	52	5	1	25
18	49	2	1	15
2	27	1	0	1
24	5	6	6	1
27	49	5	1	21
30	52	1	0	29
24	33	5	6	5
5	49	0	1	4
34	8	4	5	13
5	51	3	1	1
37	51	1	2	34
35	50	3	5	17
15	49	0	1	14
11	18	1	3	7
5	23	1	1	3
24	11	0	3	21
2	33	1	0	1
6	5	2	3	1
39	21	4	7	5
34	49	1	2	31
9	43	3	2	4
35	24	2	3	29
5	49	0	1	4
28	51	1	1	26
10	34	5	3	2
7	34	2	0	5
19	13	2	0	17
23	25	5	3	15
11	47	6	3	2
22	38	2	3	17
15	37	0	0	15
8	15	2	2	4
2	52	0	0	2
36	2	5	7	1
31	49	1	3	27
10	43	2	5	3
4	31	1	1	2
23	10	1	0	22
5	26	0	4	1
36	17	5	4	13
40	49	2	6	17
14	52	3	3	8
2	32	1	0	1
3	5	0	1	2
18	6	1	7	10
30	42	3	2	25
34	45	5	5	9
8	51	4	3	1
9	29	0	0	9
7	0	0	0	0
0	6	0	0	0
0	0	0	0	0
0	0	0	1	0
0	0	0	0	6
5	0	0	0	0
0	10	0	0	0
0	0	0	0	0
0	0	0	3	0
0	0	0	0	2
28	0	0	0	0
0	14	0	0	0
0	0	3	0	0
0	0	0	8	0
0	0	0	0	5
12	0	0	0	0
0	49	0	0	0
0	0	1	0	0
0	0	0	2	0
0	0	0	0	9
2	0	0	0	0
0	21	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	2
34	0	0	0	0
0	2	0	0	0
0	0	4	0	0
0	0	0	7	0
0	0	0	0	5
32	0	0	0	0
0	49	0	0	0
0	0	6	0	0
0	0	0	5	0
0	0	0	0	5
15	0	0	0	0
0	49	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	15
18	0	0	0	0
0	15	0	0	0
0	0	0	0	0
0	0	0	2	0
0	0	0	0	16
16	0	0	0	0
0	24	0	0	0
0	0	1	0	0
0	0	0	0	0
0	0	0	0	15
31	0	0	0	0
0	19	0	0	0
0	0	7	0	0
0	0	0	5	0
0	0	0	0	1
30	0	0	0	0
0	50	0	0	0
0	0	3	0	0
0	0	0	4	0
0	0	0	0	21
18	0	0	0	0
0	49	0	0	0
0	0	4	0	0
0	0	0	8	0
0	0	0	0	1
14	0	0	0	0
0	49	0	0	0
0	0	2	0	0
0	0	0	3	0
0	0	0	0	9
40	0	0	0	0
0	29	0	0	0
0	0	4	0	0
0	0	0	2	0
0	0	0	0	25
32	0	0	0	0
0	49	0	0	0
